onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_today
17.582554	0.808	INT_TIME
18.39084	3.058	EXT_OTHER
21.449158	0.688	INT_ACT
22.137593	0.589	INT_OBJ
22.726256	1.585	EXT_EPI
24.311145	3.578	INT_OBJ
27.889555	6.911	INT_PERC
34.800374	0.319	INT_TIME
35.119649	5.64	INT_PERSON
40.75925	0.978	INT_ACT
41.737028	3.213	INT_PLACE
44.949727	1.908	INT_ACT
46.857776	2.444	INT_OBJ
49.30222	3.288	INT_PERC
52.590519	1.953	INT_OTHER
54.543681	2.52	INT_ACT
57.06363	1.786	INT_PERC
58.849571	4.756	INT_ACT
63.605637	2.844	INT_OTHER
66.449174	1.606	EXT_EPI
68.055523	3.031	EXT_SEM
71.086756	7.978	INT_EMO
79.064583	6.283	EXT_REP
85.347203	6.794	INT_ACT
92.140724	2.094	INT_EMO
94.234359	7.512	EXT_SEM
101.746722	1.966	INT_EMO
103.713002	1.547	EXT_EPI
105.259626	5.633	EXT_SEM
110.892285	1.277	EXT_OTHER
112.169382	4.204	EXT_EPI
116.373573	7.437	INT_ACT
123.810334	5.911	INT_OBJ
129.721551	1.573	EXT_REP
131.294887	1.377	INT_PERC
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_6mo
171.794672	3.493	EXT_OTHER
175.287878	3.15	INT_PLACE
178.437982	14.355	EXT_SEM
192.793287	6.187	EXT_REP
198.980506	10.8	EXT_SEM
209.780686	2.951	INT_ACT
212.731507	1.008	INT_TIME
213.739217	3.954	INT_ACT
217.693172	1.805	INT_PLACE
219.498548	4.74	EXT_SEM
224.238138	2.666	INT_OTHER
226.904209	3.638	EXT_EPI
230.541791	2.268	EXT_SEM
232.809894	1.218	INT_PLACE
234.027849	3.317	EXT_SEM
237.34462	1.117	INT_OBJ
238.46208	5.092	INT_PERC
243.554355	0.409	INT_PLACE
243.963425	3.593	INT_PERSON
247.556828	0.589	INT_ACT
248.14549	1.258	INT_PLACE
249.403122	0.852	INT_TIME
250.255208	2.625	INT_PERC
252.879958	0.469	INT_OBJ
253.348892	2.651	INT_OTHER
255.999567	3.91	INT_ACT
259.909256	0.609	INT_OBJ
260.517872	3.259	EXT_SEM
263.776801	2.116	INT_EMO
265.89312	1.351	EXT_REP
267.244409	0.688	INT_PERSON
267.932845	4.67	EXT_SEM
272.603157	2.123	INT_ACT
274.726452	0.489	INT_OBJ
275.215341	1.699	INT_ACT
276.914306	5.711	INT_OBJ
282.625422	0.908	INT_PERC
283.533359	2.206	INT_PERSON
285.738919	0.459	INT_ACT
286.197876	0.2	INT_PLACE
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_5yr
325.719172	10.464	EXT_OTHER
336.182812	5.193	EXT_SEM
341.375384	19.861	EXT_OTHER
361.235915	50.583	EXT_SEM
411.819096	9.525	EXT_EPI
421.344338	19.139	EXT_SEM
